Row,Col,X,Y,Value
1,42,441606.74149102054,3265197.4148758007,163.70775
1,43,441694.05265471654,3265197.4148758007,147.22586
1,44,441781.36381841253,3265197.4148758007,128.60526
1,45,441868.6749821085,3265197.4148758007,110.30866
1,46,441955.9861458045,3265197.4148758007,108.49791
1,47,442043.2973095005,3265197.4148758007,108.029884
1,48,442130.6084731965,3265197.4148758007,103.179665
1,49,442217.9196368925,3265197.4148758007,98.57664
1,50,442305.2308005885,3265197.4148758007,112.613045
1,51,442392.5419642845,3265197.4148758007,110.85204
1,52,442479.8531279805,3265197.4148758007,114.68424
1,53,442567.1642916765,3265197.4148758007,137.91093
1,54,442654.4754553725,3265197.4148758007,142.28651
1,55,442741.7866190685,3265197.4148758007,148.68117
1,56,442829.09778276447,3265197.4148758007,118.89078
1,57,442916.40894646046,3265197.4148758007,121.00708
1,58,443003.72011015646,3265197.4148758007,130.53308
1,59,443091.03127385245,3265197.4148758007,40.262936
1,60,443178.34243754845,3265197.4148758007,33.992268
1,61,443265.65360124444,3265197.4148758007,53.03621
1,62,443352.96476494044,3265197.4148758007,59.618095
1,63,443440.27592863643,3265197.4148758007,54.056236
1,64,443527.5870923324,3265197.4148758007,55.678123
1,65,443614.8982560284,3265197.4148758007,52.633385
1,66,443702.2094197244,3265197.4148758007,53.937317
1,67,443789.5205834204,3265197.4148758007,54.365097
1,68,443876.8317471164,3265197.4148758007,57.033104
1,69,443964.1429108124,3265197.4148758007,57.073868
1,70,444051.4540745084,3265197.4148758007,-3.402823e+38
2,1,438026.98377948476,3265110.1037121043,170.55934
2,2,438114.29494318075,3265110.1037121043,275.12177
2,3,438201.60610687674,3265110.1037121043,258.68466
2,4,438288.91727057274,3265110.1037121043,273.58585
2,5,438376.22843426873,3265110.1037121043,280.17764
2,6,438463.53959796473,3265110.1037121043,272.36905
2,7,438550.8507616607,3265110.1037121043,298.85086
2,8,438638.1619253567,3265110.1037121043,306.32272
2,9,438725.4730890527,3265110.1037121043,273.5098
2,10,438812.7842527487,3265110.1037121043,290.00833
2,11,438900.0954164447,3265110.1037121043,272.22632
2,12,438987.4065801407,3265110.1037121043,246.13861
2,13,439074.7177438367,3265110.1037121043,257.82767
2,14,439162.0289075327,3265110.1037121043,245.8189
2,15,439249.3400712287,3265110.1037121043,275.7881
2,16,439336.6512349247,3265110.1037121043,279.30417
2,17,439423.9623986207,3265110.1037121043,261.55197
2,18,439511.27356231667,3265110.1037121043,221.6836
2,19,439598.58472601266,3265110.1037121043,201.9687
2,20,439685.89588970866,3265110.1037121043,200.56633
2,21,439773.20705340465,3265110.1037121043,184.72098
2,22,439860.51821710065,3265110.1037121043,158.59055
2,23,439947.82938079664,3265110.1037121043,138.27527
2,24,440035.14054449263,3265110.1037121043,106.5137
2,25,440122.45170818863,3265110.1037121043,107.09988
2,26,440209.7628718846,3265110.1037121043,109.34864
2,27,440297.0740355806,3265110.1037121043,157.6695
2,28,440384.3851992766,3265110.1037121043,272.9962
2,29,440471.6963629726,3265110.1037121043,318.28384
2,30,440559.0075266686,3265110.1037121043,241.58449
2,31,440646.3186903646,3265110.1037121043,169.44334
2,32,440733.6298540606,3265110.1037121043,-3.402823e+38
2,33,440820.9410177566,3265110.1037121043,-3.402823e+38
2,34,440908.2521814526,3265110.1037121043,-3.402823e+38
2,35,440995.5633451486,3265110.1037121043,194.44662
2,36,441082.8745088446,3265110.1037121043,163.9419
2,37,441170.18567254057,3265110.1037121043,-3.402823e+38
2,38,441257.49683623656,3265110.1037121043,-3.402823e+38
2,39,441344.80799993256,3265110.1037121043,-3.402823e+38
2,40,441432.11916362855,3265110.1037121043,175.91663
2,41,441519.43032732455,3265110.1037121043,178.3457
2,42,441606.74149102054,3265110.1037121043,200.32735
2,43,441694.05265471654,3265110.1037121043,166.56075
2,44,441781.36381841253,3265110.1037121043,138.39288
2,45,441868.6749821085,3265110.1037121043,111.27611
2,46,441955.9861458045,3265110.1037121043,105.42537
2,47,442043.2973095005,3265110.1037121043,99.30027
2,48,442130.6084731965,3265110.1037121043,97.132805
2,49,442217.9196368925,3265110.1037121043,96.12718
2,50,442305.2308005885,3265110.1037121043,94.44237
2,51,442392.5419642845,3265110.1037121043,88.77487
2,52,442479.8531279805,3265110.1037121043,116.48446
2,53,442567.1642916765,3265110.1037121043,120.39825
2,54,442654.4754553725,3265110.1037121043,123.119255
2,55,442741.7866190685,3265110.1037121043,146.80754
2,56,442829.09778276447,3265110.1037121043,116.46593
2,57,442916.40894646046,3265110.1037121043,137.1264
2,58,443003.72011015646,3265110.1037121043,151.48862
2,59,443091.03127385245,3265110.1037121043,59.3095
2,60,443178.34243754845,3265110.1037121043,43.50769
2,61,443265.65360124444,3265110.1037121043,53.173664
2,62,443352.96476494044,3265110.1037121043,42.116615
2,63,443440.27592863643,3265110.1037121043,51.76525
2,64,443527.5870923324,3265110.1037121043,54.92131
2,65,443614.8982560284,3265110.1037121043,47.938633
2,66,443702.2094197244,3265110.1037121043,47.290073
2,67,443789.5205834204,3265110.1037121043,50.92074
2,68,443876.8317471164,3265110.1037121043,51.978943
2,69,443964.1429108124,3265110.1037121043,49.93397
2,70,444051.4540745084,3265110.1037121043,-3.402823e+38
3,1,438026.98377948476,3265022.7925484087,196.86856
3,2,438114.29494318075,3265022.7925484087,274.97855
3,3,438201.60610687674,3265022.7925484087,284.9313
3,4,438288.91727057274,3265022.7925484087,270.29294
3,5,438376.22843426873,3265022.7925484087,271.65015
